arquivo,mi,rank_mi
bot/exts/filtering/filtering.py,0.0,C
bot/exts/moderation/modlog.py,14.1092,B
bot/exts/filtering/_ui/ui.py,18.1337,B
bot/exts/recruitment/talentpool/_cog.py,19.7795,A
bot/exts/info/information.py,22.9635,A
bot/exts/utils/snekbox/_cog.py,30.2444,A
bot/exts/filtering/_ui/filter.py,30.966,A
bot/exts/info/tags.py,32.4621,A
bot/exts/utils/reminders.py,33.7516,A
bot/exts/moderation/infraction/management.py,34.8139,A
bot/exts/moderation/infraction/infractions.py,35.0293,A
bot/exts/filtering/_ui/search.py,35.1638,A
bot/exts/recruitment/talentpool/_review.py,36.7223,A
bot/exts/moderation/infraction/_scheduler.py,37.4961,A
bot/exts/moderation/silence.py,37.9203,A
bot/exts/moderation/clean.py,37.9367,A
bot/exts/moderation/watchchannels/_watchchannel.py,40.0592,A
bot/exts/moderation/defcon.py,40.5216,A
bot/exts/backend/error_handler.py,40.6731,A
bot/exts/filtering/_utils.py,43.4637,A
bot/exts/moderation/incidents.py,43.7811,A
bot/exts/filtering/_settings_types/actions/remove_context.py,43.905,A
bot/exts/info/code_snippets.py,44.9052,A
bot/exts/info/help.py,45.0704,A
bot/exts/moderation/infraction/_utils.py,45.4036,A
bot/exts/info/doc/_cog.py,45.4636,A
bot/exts/backend/branding/_cog.py,45.9152,A
bot/exts/filtering/_settings_types/actions/infraction_and_notification.py,45.9496,A
bot/exts/utils/utils.py,46.0247,A
bot/exts/utils/snekbox/_eval.py,46.35,A
bot/exts/info/python_news.py,47.0586,A
bot/exts/filtering/_ui/filter_list.py,47.2074,A
bot/utils/message_cache.py,47.6835,A
bot/exts/filtering/_filter_lists/filter_list.py,47.8721,A
bot/exts/info/source.py,48.2631,A
bot/exts/backend/sync/_cog.py,48.2819,A
bot/constants.py,48.4717,A
bot/exts/filtering/_filters/antispam/links.py,49.041,A
bot/exts/moderation/modpings.py,49.1824,A
bot/converters.py,49.8915,A
bot/exts/info/doc/_parsing.py,50.4436,A
bot/exts/moderation/alts.py,50.6824,A
bot/utils/messages.py,50.745,A
bot/exts/utils/internal.py,50.8748,A
bot/exts/moderation/voice_gate.py,51.1897,A
bot/exts/moderation/infraction/superstarify.py,51.3662,A
bot/exts/fun/off_topic_names.py,51.8372,A
bot/exts/filtering/_filter_lists/antispam.py,51.9025,A
bot/exts/filtering/_filters/antispam/attachments.py,52.0505,A
bot/exts/help_channels/_channel.py,52.1756,A
bot/exts/filtering/_filters/antispam/duplicates.py,52.2526,A
bot/exts/utils/extensions.py,53.1333,A
bot/exts/moderation/stream.py,53.244,A
bot/exts/info/subscribe.py,53.4183,A
bot/exts/filtering/_filters/antispam/role_mentions.py,53.5714,A
bot/exts/filtering/_filters/antispam/chars.py,53.5714,A
bot/exts/help_channels/_cog.py,53.612,A
bot/exts/utils/bot.py,53.6946,A
bot/exts/info/pypi.py,53.79,A
bot/exts/filtering/_filters/antispam/burst.py,53.9888,A
bot/exts/backend/sync/_syncers.py,53.9935,A
bot/exts/info/doc/_inventory_parser.py,53.9962,A
bot/exts/fun/duck_pond.py,54.3179,A
bot/exts/filtering/_settings_types/actions/ping.py,54.9028,A
bot/exts/filtering/_settings.py,55.8977,A
bot/exts/recruitment/talentpool/_api.py,56.4521,A
bot/exts/info/stats.py,56.8262,A
bot/exts/filtering/_filter_lists/invite.py,57.0864,A
bot/exts/moderation/slowmode.py,57.2552,A
bot/exts/filtering/_filters/unique/discord_token.py,57.3578,A
bot/exts/utils/thread_bumper.py,58.0992,A
bot/exts/moderation/metabase.py,58.54,A
bot/utils/time.py,58.9008,A
bot/exts/info/doc/_markdown.py,59.0009,A
bot/exts/info/codeblock/_parsing.py,59.4831,A
bot/exts/backend/branding/_repository.py,60.0568,A
bot/exts/info/pep.py,60.329,A
bot/exts/info/patreon.py,60.857,A
bot/utils/modlog.py,61.6917,A
bot/decorators.py,61.8926,A
bot/exts/moderation/dm_relay.py,61.9351,A
bot/exts/utils/attachment_pastebin_uploader.py,63.0561,A
bot/exts/info/doc/_batch_parser.py,63.1626,A
bot/exts/info/codeblock/_instructions.py,63.5103,A
bot/exts/filtering/_filters/antispam/newlines.py,63.6206,A
bot/exts/info/doc/_redis_cache.py,64.1593,A
bot/exts/info/doc/_html.py,64.3329,A
bot/exts/utils/snekbox/_io.py,64.6537,A
bot/bot.py,65.0284,A
bot/exts/info/codeblock/_cog.py,65.2859,A
bot/exts/moderation/watchchannels/bigbrother.py,65.3005,A
bot/exts/filtering/_filter_lists/extension.py,65.404,A
bot/exts/info/doc/_doc_item.py,65.7061,A
bot/exts/filtering/_settings_types/validations/channel_scope.py,65.7089,A
bot/exts/filtering/_filters/antispam/emoji.py,66.4158,A
bot/exts/backend/logging.py,67.6495,A
bot/exts/filtering/_filters/unique/webhook.py,68.2932,A
bot/exts/filtering/_filter_context.py,68.8173,A
bot/exts/filtering/_settings_types/actions/send_alert.py,69.2802,A
bot/utils/channel.py,70.7538,A
bot/__main__.py,70.9293,A
bot/utils/checks.py,71.4332,A
bot/utils/helpers.py,72.4871,A
bot/exts/filtering/_filters/antispam/mentions.py,73.3261,A
bot/utils/lock.py,73.5898,A
bot/exts/filtering/_settings_types/settings_entry.py,73.6593,A
bot/exts/filtering/_settings_types/validations/bypass_roles.py,74.3959,A
bot/utils/function.py,74.4293,A
bot/exts/help_channels/__init__.py,74.9063,A
bot/exts/utils/ping.py,74.938,A
bot/exts/filtering/_filter_lists/token.py,74.9549,A
bot/exts/moderation/verification.py,74.9887,A
bot/exts/filtering/_filters/filter.py,75.1118,A
bot/exts/filtering/_filters/domain.py,76.0381,A
bot/exts/filtering/_filters/invite.py,76.6266,A
bot/exts/filtering/_filter_lists/domain.py,79.3473,A
bot/exts/filtering/_settings_types/validations/filter_dm.py,80.6334,A
bot/exts/backend/security.py,82.1041,A
bot/exts/help_channels/_stats.py,84.322,A
bot/exts/filtering/_filters/unique/everyone.py,87.7624,A
bot/exts/backend/config_verifier.py,89.3172,A
bot/__init__.py,92.444,A
bot/exts/filtering/_filters/extension.py,96.1367,A
bot/pagination.py,100.0,A
bot/errors.py,100.0,A
bot/log.py,100.0,A
bot/exts/__init__.py,100.0,A
bot/exts/info/resources.py,100.0,A
bot/exts/info/__init__.py,100.0,A
bot/exts/info/doc/__init__.py,100.0,A
bot/exts/info/codeblock/__init__.py,100.0,A
bot/exts/recruitment/__init__.py,100.0,A
bot/exts/recruitment/talentpool/__init__.py,100.0,A
bot/exts/fun/__init__.py,100.0,A
bot/exts/utils/__init__.py,100.0,A
bot/exts/utils/snekbox/__init__.py,100.0,A
bot/exts/utils/snekbox/_constants.py,100.0,A
bot/exts/backend/__init__.py,100.0,A
bot/exts/backend/sync/__init__.py,100.0,A
bot/exts/backend/branding/__init__.py,100.0,A
bot/exts/filtering/__init__.py,100.0,A
bot/exts/filtering/_settings_types/__init__.py,100.0,A
bot/exts/filtering/_settings_types/actions/__init__.py,100.0,A
bot/exts/filtering/_settings_types/validations/__init__.py,100.0,A
bot/exts/filtering/_settings_types/validations/enabled.py,100.0,A
bot/exts/filtering/_filters/token.py,100.0,A
bot/exts/filtering/_filters/__init__.py,100.0,A
bot/exts/filtering/_filters/antispam/__init__.py,100.0,A
bot/exts/filtering/_filters/unique/__init__.py,100.0,A
bot/exts/filtering/_ui/__init__.py,100.0,A
bot/exts/filtering/_filter_lists/__init__.py,100.0,A
bot/exts/filtering/_filter_lists/unique.py,100.0,A
bot/exts/moderation/__init__.py,100.0,A
bot/exts/moderation/infraction/_views.py,100.0,A
bot/exts/moderation/infraction/__init__.py,100.0,A
bot/exts/moderation/watchchannels/__init__.py,100.0,A
bot/exts/help_channels/_caches.py,100.0,A
bot/utils/__init__.py,100.0,A
bot/utils/webhooks.py,100.0,A
